paper,year,venue,task,dataset,representation,global/local,key invariance,alignment,retrieval architecture,training objective,evaluation,reported results,computational considerations,relevance,novelty overlap,important limitation,verification
"Serrà, Gómez, Herrera, Serra — Chroma binary similarity and local alignment",2008,IEEE TASLP,CSI,period CSI collections,HPCP,local,OTI,local alignment,exhaustive pairwise,none (hand-designed),MAP etc.,see paper,"quadratic per pair, exhaustive",classical alignment family our Stage 2 descends from,OTI and alignment are prior art,exhaustive cost,C
"Serrà, Serra, Andrzejak — Qmax cross recurrence",2009,New J. Physics,CSI,period collections; Da-TACOS via Yesiler 2019,HPCP,local,OTI,cross-recurrence (Qmax),exhaustive pairwise,none,MAP,Da-TACOS HPCP 0.333 per Yesiler 2019 Table 2 (not re-read here),exhaustive,strongest classical reference on the same input,local alignment stronger than our whole-query DTW,exhaustive cost,S
Yesiler et al. — Da-TACOS,2019,ISMIR,CSI benchmark,"Da-TACOS (15,000-track benchmark)","HPCP, CREMA, MFCC features",both,varies,varies,benchmark of 7 systems (acoss),n/a,"MAP, MR1",benchmark tables,"features only, no audio",the benchmark used here,none,features only; 2019; Western pop,C/G
"Yesiler, Serrà, Gómez — MOVE",2020,ICASSP,VI,SHS / Da-TACOS,CREMA-PCP,global,learned (transposition augmentation),none,embedding + NN search,triplet,MAP,Da-TACOS values not re-read,"single vector, fast",learned global embedding baseline,global learned VI is prior art,trained on far more data than ours,C
"Yesiler, Serrà, Gómez — Re-MOVE",2020,ISMIR,VI,"Da-TACOS training set (83,904 tracks)",CREMA-PCP,global,learned,none,embedding + NN search,distillation,MAP,not re-read,smaller embeddings,efficiency-oriented VI,embedding compression prior art,,G
Du et al. — ByteCover,2021,ICASSP,CSI,"SHS100K, Da-TACOS",CQT,global,learned,none,embedding + NN,classification + triplet (BNNeck),MAP,"Da-TACOS value recorded as 0.714 in notes, not re-read",single vector,strong learned CSI,learned CSI prior art,large training set,C
Du et al. — ByteCover2,2022,ICASSP,CSI,"SHS100K, Covers80, Da-TACOS",CQT,global,learned,none,embedding + NN,multi-loss + PCA-FC,MAP,gains over ByteCover reported,128-d embeddings,dimensionality/efficiency,,not open source (per Discogs-VINet README),S
Du et al. — ByteCover3,2023,ICASSP,CSI (short queries),not re-read,CQT,local,learned,local alignment loss,two-stage: ANN retrieval then re-ranking,local alignment loss,MAP,not re-read,two-stage for efficiency,closest prior art for two-stage + local features,two-stage and local features are NOT new,details not verified here,S
Liu et al. — CoverHunter,2023,ICME,CSI,"SHS100K, Da-TACOS",CQT,global + chunk alignment in training,learned,coarse-to-fine chunk alignment (training),embedding + NN,attention pooling + alignment,MAP,README claims +17.7% on Da-TACOS over prior SOTA,,coarse-to-fine ideas,,,G/S
"Araz, Serra, Bogdanov — Discogs-VI / Discogs-VINet",2024,ISMIR,VI dataset + model,"Discogs-VI (1.9M versions), YT subset 493k",CQT,global,learned,none,embedding + NN,triplet,MAP,2nd in MIREX 2024 CSI (README),,candidate strong open system for re-analysis,,per-query rankings not released,G/S
Serrà et al. — CLEWS,2025,ICML,segment-level VI,"Discogs-VI, SHS",CQT segments,local (segments),learned,none,segment embeddings,weakly-supervised contrastive,MAP,SOTA claims at track and segment level,,segment matching,local matching prior art,,S
Hachmeier et al. — DiVers,2026,ISMIR,VI dataset/benchmark,DiVers: >1.1M versions (Discogs-VI + >600k YouTube),audio,varies,learned,none,n/a,CLEWS fine-tuning,robustness benchmark,fine-tuning trade-off: robustness vs clean-data gains,,current large-scale VI benchmark; splits compatible with Da-TACOS,none,not verified beyond search results,S
