citation,year,verification,task,dataset,representation,global_or_local,alignment,key_invariance,retrieval_architecture,computational_strategy,reported_metric,limitation,relevance,novelty_implication
"Serrà, Gómez, Herrera, Serra. Chroma binary similarity and local alignment applied to CSI. IEEE TASLP",2008,R,CSI,covers datasets of the time,HPCP / chroma,local sequences,local alignment (Smith-Waterman style),optimal transposition index,exhaustive pairwise,none (exhaustive),see paper,quadratic cost per pair; exhaustive,classical alignment baseline family,OTI + alignment are not new
"Serrà, Serra, Andrzejak. Cross recurrence quantification for cover song identification (Qmax). NJP",2009,R,CSI,Da-TACOS benchmark (via Yesiler 2019),HPCP,local,"cross-recurrence, Qmax",OTI,exhaustive pairwise,none,"Da-TACOS MAP 0.333 (HPCP), 0.365 (CREMA)",exhaustive cost,strongest classical comparison on same protocol,project's classical baseline is ~2.5x lower; any claim must acknowledge
Yesiler et al. Da-TACOS. ISMIR,2019,R,dataset + benchmark,Da-TACOS,"HPCP, CREMA, others (features only)",both,various,various,exhaustive baselines,none,"Qmax 0.333, Dmax 0.292, SiMPle 0.165, FTM2D 0.126, EarlyFusion 0.426",no audio; 2019; Western-pop centric,protocol used here,defines comparability
"Bertin-Mahieux, Ellis. Large-scale cover song recognition using the 2D Fourier transform magnitude. ISMIR",2012,S,large-scale CSI,SHS / Million Song Dataset,beat-sync chroma -> 2DFTM + PCA,global,none,2DFTM magnitude (shift invariant),single-stage fixed-length,"PCA, Euclidean search",MAP ~3.0% on ~18k covers in 1M tracks (search snippet),low accuracy,scalability motivation; DTW does not scale,cost/accuracy tension is old
"Yesiler, Serrà, Gómez. MOVE: accurate and scalable version identification using musically-motivated embeddings. ICASSP",2020,R,CSI,Da-TACOS,CREMA-PCP,global,none,learned,single-stage embedding,exact/ANN search,Da-TACOS MAP 0.507,needs large training data,learned Stage-1 reference,embedding Stage 1 is standard
"Yesiler, Serrà, Gómez. Less is more: faster and better music version identification with embedding distillation (Re-MOVE). ISMIR",2020,R/S,CSI,"Da-TACOS (train 83,904 songs / 14,499 works)",CREMA-PCP,global,none,learned,single-stage,"distillation, pruning, small embeddings",Da-TACOS MAP 0.534,,embedding compactness vs accuracy,efficiency of Stage 1 is studied
Du et al. ByteCover: cover song identification via multi-loss training. ICASSP,2021,R/S,CSI,"SHS100K, Covers80, Da-TACOS",CQT,global,none,learned,single-stage embedding,,Da-TACOS MAP 0.714,trained on SHS100K,strong learned reference,far stronger than this project
Du et al. ByteCover2: towards dimensionality reduction of latent embedding for efficient CSI. ICASSP,2022,S,CSI,"SHS100K, Covers80, Da-TACOS",CQT,global,none,learned,single-stage embedding,PCA-FC dimensionality reduction,beats ByteCover even at 128-d (search snippet); MIREX 2024 1st (per Discogs-VI authors),not open source,efficiency of global embeddings,"MIREX 2024 value 0.877 is user-supplied [U], unverified"
ByteCover3 (authors not confirmed in this environment): accurate cover song identification on short queries. ICASSP,2023,S,CSI (short queries),multiple,CQT,local,local alignment loss (training),learned,TWO-STAGE: ANN then re-ranking,ANN first stage,reported to beat previous ByteCover versions,short-query focus,closest architectural prior art,two-stage + local features is NOT novel
Liu et al. CoverHunter: CSI with refined attention and alignments. ICME,2023,S,CSI,"SHS100K, Da-TACOS, Covers80",CQT,global with chunk alignment in training,coarse-to-fine chunk alignment (training),learned,single-stage embedding,,+7.4% mAP from coarse-to-fine training (search snippet),,"coarse-to-fine is used in training, not retrieval depth",'coarse-to-fine' wording is taken; use 'two-stage' / 'shortlist'
